"x1","x2","x3"
3.85841438061025e-06,4.4336281190582e-06,4.23205502068784e-06
4.26374947409843e-06,4.4329641818557e-06,4.18642439862761e-06
4.2377578300319e-06,3.81154642574335e-06,4.24913452508474e-06
3.77591340439681e-06,4.16988320980869e-06,4.35444797607084e-06
4.72340936422091e-06,4.57250531564265e-06,4.73471235230897e-06
4.23428998566016e-06,4.10705734989263e-06,4.76252881118712e-06
4.47349187569016e-06,3.96805018459703e-06,4.46183930178075e-06
4.45347794547527e-06,4.4097240823903e-06,4.5876763719217e-06
4.40356056533306e-06,4.15639746146099e-06,5.03174237599445e-06
4.09585611565667e-06,4.11149991329768e-06,4.09216209010378e-06
4.23641671265559e-06,4.10028444699842e-06,4.30810173463052e-06
3.67999218486126e-06,4.11196054568971e-06,4.30139997151185e-06
3.76247433177641e-06,3.69897104681431e-06,4.49900945895112e-06
4.29313916567483e-06,4.04800216925803e-06,4.20667321540845e-06
4.26827612374322e-06,4.28944160097696e-06,4.2582727490782e-06
4.57250075188059e-06,4.62768013341771e-06,4.44592695054185e-06
3.71533733135034e-06,4.86691494114873e-06,4.68012980625384e-06
3.83680228065683e-06,4.18546831342914e-06,4.28668575038045e-06
3.88079663473449e-06,4.21866743114972e-06,3.74088346215256e-06
3.57421015276587e-06,4.27052044068317e-06,4.1501071485289e-06
3.9776651573741e-06,4.09213658573839e-06,4.14935231514619e-06
4.14515652015034e-06,4.063016042841e-06,4.27129770994794e-06
4.24417458580906e-06,4.09953713384191e-06,3.98635658036972e-06
4.46341869799433e-06,4.00913128460398e-06,3.97436268851378e-06
4.01808343851562e-06,4.60808151181792e-06,4.52743733183821e-06
3.87091457330536e-06,4.18850255257387e-06,4.44980048429723e-06
3.8777392379504e-06,4.37862738357501e-06,3.89293877924199e-06
3.73022951343279e-06,4.50629548619211e-06,4.14954722367754e-06
3.6413522933182e-06,4.26423669662096e-06,3.98032552522336e-06
3.81545725968736e-06,3.78330275966975e-06,3.86802495038418e-06
4.16983433639053e-06,4.38992366340603e-06,4.48852003270274e-06
3.83851496208824e-06,4.38009696975744e-06,4.06764149960257e-06
4.25388715194937e-06,4.91627996703752e-06,4.64120830493003e-06
4.11598293644625e-06,4.10712588554101e-06,4.34288539436571e-06
4.32567965089342e-06,4.07479243733021e-06,4.0789193044283e-06
