"x1","x2","x3"
5.0466470808288e-06,4.84520094826004e-06,4.63169948005818e-06
4.65529332319286e-06,4.85013874207042e-06,4.66333807718708e-06
5.08699683683502e-06,4.26133185854405e-06,4.82335601912683e-06
4.8121919438971e-06,4.81992831015328e-06,5.02123560901332e-06
4.43673167809192e-06,4.34169111919306e-06,4.56394408942175e-06
4.31757129635264e-06,4.60701657480777e-06,4.44678810386271e-06
4.64829691010885e-06,4.6268192529073e-06,4.75976130308136e-06
5.28887385913039e-06,4.9576643454996e-06,4.76002050115761e-06
4.93090823851478e-06,4.83144991277761e-06,4.99340149567703e-06
4.89895619453953e-06,4.73320559562318e-06,4.54685638441109e-06
5.42739164144897e-06,5.04410595557141e-06,4.84728511729956e-06
4.76739064776015e-06,5.1001901354126e-06,5.22088521593253e-06
5.54861205329988e-06,4.48966506565768e-06,5.28216045117771e-06
5.36622556832397e-06,5.09068066162455e-06,5.07902199492217e-06
5.23646437008637e-06,4.38556545122814e-06,4.80328494340895e-06
4.92035275460372e-06,5.04803216864765e-06,4.44000513564951e-06
4.37671816278481e-06,4.55960859775918e-06,4.51621154423763e-06
5.01031952793794e-06,5.46111571406516e-06,4.66521934757174e-06
5.6246304679e-06,5.31774785558592e-06,4.68600040036687e-06
5.54259119973975e-06,4.97069300725661e-06,4.85333437025796e-06
5.38896311819459e-06,5.21521807325575e-06,5.7761284064933e-06
4.92787505963323e-06,4.40548753844224e-06,4.86821798263284e-06
5.01463803661043e-06,4.75104319825323e-06,5.01394613956037e-06
5.49241989506221e-06,5.09218532420167e-06,5.13686363857662e-06
5.00023958048777e-06,5.4316082215069e-06,4.54603749006621e-06
5.40841806870326e-06,4.97452987513979e-06,4.8230121600021e-06
5.33524383044937e-06,4.57532397343945e-06,5.10391972106381e-06
4.67999312545125e-06,4.82123904194742e-06,4.89432699554776e-06
4.89444934738792e-06,4.93782734381725e-06,5.12918629121643e-06
5.08464574926069e-06,4.9155354532709e-06,4.29303063262647e-06
5.1469686861781e-06,4.98148606077555e-06,4.75771659636753e-06
4.25551420442696e-06,5.33016303357806e-06,5.25627913154569e-06
4.78752494025069e-06,4.65780719728206e-06,5.64785665732586e-06
4.42231689335158e-06,5.0337972962671e-06,5.33109419144204e-06
5.62710630393232e-06,4.81438939937885e-06,4.8915599221523e-06
5.08606291630302e-06,4.7921984506088e-06,5.17553453378722e-06
5.20625285908209e-06,5.00442253542481e-06,5.17912344113082e-06
5.42770468353949e-06,4.80453078871699e-06,5.30694885357068e-06
5.25383641427728e-06,4.87253366153674e-06,5.13972049879441e-06
5.49504547517073e-06,4.84504760145735e-06,4.67913943317823e-06
5.2143071863327e-06,4.95592828921147e-06,4.56443880434845e-06
5.38935355293595e-06,5.54257360800654e-06,5.13962480131804e-06
5.40533563733918e-06,5.59956906978756e-06,5.42994518299865e-06
5.30645758637439e-06,4.74174139215173e-06,5.274202064922e-06
5.11211401082538e-06,4.99659412997556e-06,4.58698962230182e-06
4.44114786090118e-06,4.79957210075644e-06,4.55905158764655e-06
5.38576471794009e-06,5.35912643876013e-06,4.3820801400918e-06
5.67897772340201e-06,5.23111479323224e-06,6.06959928359319e-06
5.74987779907421e-06,5.06435503251573e-06,5.16759272845001e-06
4.98308297642593e-06,4.78099209996644e-06,5.26068939944909e-06
6.15448072868676e-06,4.98932399690773e-06,5.85875204193158e-06
5.13360409333631e-06,5.43450405195229e-06,5.95764425956508e-06
5.06783977845184e-06,5.42562051492149e-06,6.23689934315503e-06
4.70276820840133e-06,5.36600335509039e-06,4.75329270673109e-06
5.09465519649708e-06,4.91700025890298e-06,5.08620616003343e-06
5.25090558198678e-06,5.29524826748909e-06,5.05967055544972e-06
5.17442154564073e-06,5.5627923023866e-06,5.03127981815408e-06
5.07878588756025e-06,4.80384810393007e-06,5.11969979749136e-06
5.93684574672161e-06,5.09227923520936e-06,5.29362240480064e-06
5.74868447395618e-06,5.22027146047026e-06,5.54410932127035e-06
5.2918830949992e-06,5.42468540686212e-06,5.68075229378813e-06
5.78916267089641e-06,5.47108795624433e-06,6.23652511436681e-06
5.35364757150994e-06,5.90133789886105e-06,5.65349126509481e-06
4.82271708569102e-06,5.06631295933456e-06,5.45140390174479e-06
4.81502132720675e-06,4.52572854575844e-06,4.99703633147739e-06
5.49801669026693e-06,5.41161792333064e-06,5.31514829667215e-06
5.65868927688044e-06,5.40061338253592e-06,5.6979045481085e-06
5.73667630478726e-06,5.49696147688506e-06,5.68596061069108e-06
5.06010737475995e-06,5.44917214677347e-06,5.6365767966098e-06
5.65111218591796e-06,5.28451137115211e-06,5.968987703732e-06
6.86929120156393e-06,5.96609377064701e-06,6.77357714148613e-06
5.77901160090636e-06,5.89107121370824e-06,6.03364179713195e-06
5.49404355858482e-06,5.7515453393609e-06,5.12871373625211e-06
6.10695469589416e-06,5.51638608684061e-06,6.36554625433729e-06
6.23523567404362e-06,6.07021724699941e-06,6.22444803128301e-06
5.90435922114574e-06,5.65873036522226e-06,6.03734605539577e-06
6.37038624931616e-06,5.77245683757836e-06,5.66172520724817e-06
6.04114278525352e-06,5.51798446050112e-06,5.79975409302904e-06
5.87246974963968e-06,5.696405817962e-06,6.15713680978175e-06
6.08489388342729e-06,6.16360572070013e-06,6.94571889725632e-06
6.15882703199754e-06,5.49583824515799e-06,5.82700976454461e-06
5.87433822730832e-06,5.99287870455317e-06,5.56048633555762e-06
5.04318630685053e-06,5.46906231282464e-06,5.91666712857097e-06
5.89857616523925e-06,6.47756116772489e-06,6.14106948125693e-06
5.20317128353984e-06,5.69022455051911e-06,5.68987472642811e-06
5.90659468201427e-06,5.58395834443046e-06,5.99409049043352e-06
5.96266507379132e-06,5.75466559071281e-06,6.7035901659238e-06
6.14689850919787e-06,5.94242705033314e-06,6.01317818307599e-06
6.57757337590784e-06,6.59544929104755e-06,6.69168765463993e-06
7.45146356228871e-06,6.98390957715826e-06,7.19824036701917e-06
6.72842055590608e-06,6.85223318411556e-06,6.31658936671181e-06
6.61097858113409e-06,6.40227252197795e-06,5.65841761977294e-06
7.15892986694059e-06,6.76455493255826e-06,6.70787232375906e-06
7.21974341785107e-06,7.60391759329363e-06,7.71556230504332e-06
7.00451876188119e-06,8.44757842601325e-06,6.83998330609543e-06
6.32084084145126e-06,7.31506131536577e-06,6.23505543724743e-06
6.27116363604881e-06,6.59435910864984e-06,6.69137784153097e-06
6.0683769748317e-06,6.5841621702374e-06,6.97689062590415e-06
7.25619905953433e-06,7.72634980635743e-06,6.81794622585445e-06
7.77249963307177e-06,7.03587291043393e-06,7.61458866996356e-06
6.60413186651687e-06,6.90215879379717e-06,7.43210971538167e-06
6.9341961608226e-06,7.08016068822259e-06,7.15338834718416e-06
7.30288771353196e-06,7.63111292823769e-06,7.3024434355374e-06
7.37673222578675e-06,7.21888882613524e-06,7.83087063237812e-06
6.66106863503845e-06,7.43159320117905e-06,8.70468882629331e-06
6.77858468639929e-06,8.48499785596728e-06,8.32299798192776e-06
7.09669204120565e-06,8.60205060254325e-06,8.49035812126154e-06
7.27566778929699e-06,7.68296966474204e-06,7.5384755509869e-06
8.5506568608168e-06,8.48462287374586e-06,8.53799252534798e-06
8.27059710354786e-06,8.5525358813605e-06,8.81576770615185e-06
8.87153939204075e-06,8.96254829188688e-06,9.66879539125645e-06
8.4939418907544e-06,9.82394906938583e-06,9.80566774196693e-06
9.028633477746e-06,9.48188604744405e-06,9.46196630260208e-06
8.86758546668182e-06,8.72002586866241e-06,9.27127530428776e-06
8.39407766728615e-06,1.00164964952038e-05,1.01129785587645e-05
8.53502316590143e-06,1.0135577469844e-05,1.00062200896882e-05
8.93436263584052e-06,1.03641969188665e-05,1.03527132539595e-05
8.76939932712181e-06,9.83867669144991e-06,1.11984528362282e-05
8.44188693146538e-06,1.05457845193116e-05,1.11978820195265e-05
8.8536919934683e-06,9.85073285862929e-06,1.12989312084207e-05
8.3430625092669e-06,1.02601702724125e-05,1.12661539308651e-05
1.04790194369873e-05,1.0232923193374e-05,1.05054155436981e-05
9.11184169186331e-06,1.02361607482989e-05,1.04960358734729e-05
8.87676121677689e-06,1.11623652491133e-05,1.10836568746079e-05
9.52125024529724e-06,1.01507363922902e-05,1.12685474574588e-05
9.71064182779009e-06,1.03765683918913e-05,1.14466693317375e-05
1.00935211645368e-05,9.98830311364643e-06,1.07069691068526e-05
9.56422937947407e-06,1.08032561745093e-05,1.05932093170634e-05
8.30522600839162e-06,1.01027272704623e-05,1.10675031687941e-05
8.28399426365307e-06,1.020507748822e-05,1.08108574032146e-05
9.09788130360015e-06,1.03710509032614e-05,1.07839359707752e-05
8.16888893004247e-06,9.54130074366799e-06,1.08011502911541e-05
9.53421342631686e-06,9.49959480304218e-06,9.46207071030195e-06
9.37468130609363e-06,9.46929498382401e-06,1.06691029421646e-05
9.21402335859965e-06,8.84096399251913e-06,1.07779957385515e-05
8.57575286210737e-06,8.27312184564415e-06,1.02057328706522e-05
8.50932170026222e-06,9.36555831043874e-06,1.02953494672322e-05
8.66811310891532e-06,9.88482288265639e-06,1.03361849679247e-05
8.87435611460416e-06,9.1820829858149e-06,8.55108990370934e-06
9.71290760770853e-06,8.58212393684675e-06,8.18791315131314e-06
8.36816313227925e-06,7.77358593170737e-06,8.65712030936684e-06
7.01341797095934e-06,8.56768890228032e-06,8.27402590491461e-06
6.85677765512106e-06,8.56608522657066e-06,8.56471048840476e-06
6.51226255967804e-06,7.85082504583066e-06,8.3426414670191e-06
6.42541961864439e-06,8.21641521948591e-06,7.24784326004241e-06
7.40678848239019e-06,8.19208569445189e-06,8.54627041073034e-06
7.81170154175091e-06,8.06893209123672e-06,9.31245557599003e-06
7.81310745219697e-06,8.17835057415787e-06,8.68255116499844e-06
7.14369163343755e-06,8.18251419366219e-06,8.95237224687059e-06
6.86181555502335e-06,7.72578162998905e-06,8.2236738497943e-06
6.97211589929335e-06,8.33874490440528e-06,7.52057302323044e-06
7.58708762381895e-06,8.21239789441048e-06,9.34427485413984e-06
6.81627624472667e-06,8.42373894288699e-06,8.58715153922922e-06
7.1028974052689e-06,6.79132006141241e-06,8.99420724936763e-06
6.61127338453303e-06,7.15921273007717e-06,8.1008651542018e-06
5.82486287618171e-06,7.34534405784929e-06,7.83953332986356e-06
6.79126763939677e-06,8.08200217179894e-06,9.3250217864217e-06
6.69787356925183e-06,7.22211670566148e-06,7.46221554572472e-06
6.49114827637034e-06,7.32943920468654e-06,7.25899789900978e-06
6.36975652495541e-06,5.99013541399578e-06,6.46631371231906e-06
6.20628626291852e-06,6.41282730666359e-06,7.22658607511291e-06
6.53402103632318e-06,7.07805390570794e-06,7.40122803738688e-06
5.89621910525683e-06,7.16857663019387e-06,6.5938000253843e-06
7.14491725664132e-06,6.09039931037003e-06,6.6113736232614e-06
5.29542018342042e-06,6.1670018763842e-06,6.397710020577e-06
5.9850505618427e-06,6.33445360769774e-06,6.75447943467129e-06
7.33455796750297e-06,7.30166022382115e-06,6.22281173487284e-06
6.88590915856866e-06,8.47915925355778e-06,7.04293246926458e-06
