"x1","x2","x3"
5.49143704642368e-06,5.64683366455331e-06,5.36776681000787e-06
5.47342302968942e-06,4.90452982705219e-06,5.12784021002578e-06
4.92493745942099e-06,5.03304389680366e-06,4.90017628314826e-06
5.44515481436428e-06,5.4429220488881e-06,4.85172244856252e-06
5.48399881703347e-06,5.56422934887545e-06,4.72565738275111e-06
4.83710559567004e-06,5.25378501792283e-06,5.16786126585083e-06
4.95032794790152e-06,5.64710045469848e-06,5.40560376190703e-06
4.61693942831749e-06,5.01443935125025e-06,5.56446782668871e-06
5.68840386128751e-06,4.86504431900485e-06,5.70141542210983e-06
5.37119488332436e-06,4.15693944788659e-06,5.45117483696027e-06
4.71024393528468e-06,4.88760679794143e-06,4.92811640065431e-06
5.02716537351677e-06,4.96482139643427e-06,5.61354932783024e-06
5.07563529998971e-06,4.74265966356545e-06,5.06117403739613e-06
4.68485701476101e-06,5.6448489400915e-06,5.59516460743082e-06
5.12686314301735e-06,5.63603242287425e-06,5.19631417897635e-06
4.98024036022706e-06,5.41409111143934e-06,5.1310760757018e-06
5.25186228589081e-06,5.09248411633339e-06,5.32276562103726e-06
5.31244758669138e-06,4.63490912629992e-06,4.8740774815288e-06
5.5299560124583e-06,5.56234865133613e-06,4.95933739500016e-06
4.25551102361745e-06,5.23504470605051e-06,4.994035006375e-06
4.76761067107417e-06,4.94867485803329e-06,5.32105096048907e-06
4.80091247375453e-06,4.91646833886389e-06,5.05433121940705e-06
4.59838280727113e-06,4.79470916992417e-06,4.94415881760689e-06
4.6338762452382e-06,5.80662077142437e-06,4.27061870889803e-06
5.07319167750544e-06,5.86584008861243e-06,5.12856864399313e-06
5.33414122848176e-06,5.0797323040252e-06,4.96345907326873e-06
5.00062360823286e-06,5.56534537661666e-06,5.29779551587153e-06
5.39437329760035e-06,4.91035671951513e-06,4.98817481152131e-06
4.95948286015739e-06,5.08232882426562e-06,4.88640101750521e-06
5.09025703843791e-06,4.64261733633221e-06,4.85593182055576e-06
4.88829153466123e-06,4.14106213943325e-06,4.73073919730379e-06
4.57314759603153e-06,4.99306604021636e-06,4.79778183264158e-06
4.54788971428721e-06,5.33558055707802e-06,4.93800934243057e-06
4.91708370710599e-06,5.21699757285834e-06,5.14919158103857e-06
4.89073116841393e-06,4.90484086730613e-06,4.67365631385144e-06
4.76266229377241e-06,5.12635114028347e-06,4.91308567641682e-06
4.75003369866967e-06,5.20852686310842e-06,5.75621627886392e-06
5.38950263346132e-06,4.96538492151953e-06,5.01830417877616e-06
